id,name,provider,rank,categories,imageUrl,localImage
"1","Wild Bounty Showdown","","1","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3034_135_h5_260701192658.webp","images/unknown__Wild_Bounty_Showdown__1.webp"
"2","Baccarat","","2","EVOCASHREBATE|Live|Slots","https://cp-images.casinoplus.live/images/cpms/26-05/gameImage_163408.webp","images/unknown__Baccarat__2.webp"
"3","Pula Puti","","3","Perya","https://cp-images.casinoplus.live/images/cpms/ebtdz/mobile/PulaPutiH5_v2.webp","images/unknown__Pula_Puti__3.webp"
"4","Color Game","","4","Perya|Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/166/colorgameH5.webp","images/unknown__Color_Game__4.webp"
"5","JJBX Gold","","5","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm15.webp","images/unknown__JJBX_Gold__5.webp"
"6","Super Ace","","6","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_49_h5_260701190058.webp","images/unknown__Super_Ace__6.webp"
"7","Speed Baccarat A","EGS","7","EVOCASHREBATE|Live","https://cp-images.casinoplus.live/images/cpms/egs/mobile/evo1.webp","images/EGS__Speed_Baccarat_A__7.webp"
"8","Bathala","","8","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3033_6005_h5_260701203624.webp","images/unknown__Bathala__8.webp"
"9","Crazy Time","EGS","9","Perya","https://cp-images.casinoplus.live/images/cpms/egs/mobile/CrazyTime0000001.webp","images/EGS__Crazy_Time__9.webp"
"10","Drop Ball","","10","RTP98|Perya|Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3016/dropball_v5.webp","images/unknown__Drop_Ball__10.webp"
"11","Roulette","","11","Live","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/4500/mobile/roulette.webp","images/unknown__Roulette__11.webp"
"12","Bao Zhu Zhao Fu","","12","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm3.webp","images/unknown__Bao_Zhu_Zhao_Fu__12.webp"
"13","Pacman Dropball Punch","","13","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3033_6004_h5_260701203427.webp","images/unknown__Pacman_Dropball_Punch__13.webp"
"14","Gates Of Olympus Super Scatter","","14","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3031_vs20olympgold_h5_260701200005.webp","images/unknown__Gates_Of_Olympus_Super_Scatter__14.webp"
