code,provider,platformKey,name,gameType,img,localImage
"49","JILI","JILI_SLOT","super ace","1","20260312226eeaf8-f4a4-41ae-a366-19b02624297a.webp","images/JILI__super_ace__49.webp"
"1492288","PG","PG_SLOT","Pinata Wins","1","20260520153ff711-73cc-4221-bed4-a08acc09262a.png","images/PG__Pinata_Wins__1492288.png"
"leqhceumaq6qfoug","EVO","EVO_LIVE","speed baccarat a","2","20260622501843d8-828a-4f7a-ac00-e44b7b4c6667.png","images/EVO__speed_baccarat_a__leqhceumaq6qfoug.png"
"807","JILI","JILI_SLOT","fortune garuda 1000","1","202607010c5e4ca6-64b4-4e4b-b7d0-feb9ef2a87d0.png","images/JILI__fortune_garuda_1000__807.png"
"135","PG","PG_SLOT","wild bounty showdown","1","20260312ecab26fb-ec71-4c2d-9e1b-0739f460a3f0.webp","images/PG__wild_bounty_showdown__135.webp"
"CrazyTime0000002","EVO","EVO_LIVE","crazy time a","2","202606225297dd26-ec95-4eef-8d34-7bb010b1ddb2.png","images/EVO__crazy_time_a__CrazyTime0000002.png"
"S5G-H5-99928","5G","5G_SLOT","piñata 1000","1","20260626111821df-d5a1-408d-ac5f-f11eac6fcbc5.png","images/5G__pi_ata_1000__S5G-H5-99928.png"
"403","JILI","JILI_SLOT","super ace deluxe","1","20250829ac23cb12-3d4e-48c8-9663-3642622e18fc.webp","images/JILI__super_ace_deluxe__403.webp"
"101007","OP","OMNIPLAY_SLOT","super gems","1","20260614b48916ea-41ec-4446-b930-dd596ec3e3c8.jpg","images/OP__super_gems__101007.jpg"
"696","JILI","JILI_SLOT","fortune garuda 500","1","20260520b904daf9-d44c-4da8-8e12-a95d190bbf5d.png","images/JILI__fortune_garuda_500__696.png"
"74","PG","PG_SLOT","Mahjong Ways 2","1","202508286e2282ed-46a0-473b-bd9e-56c49d6673c7.png","images/PG__Mahjong_Ways_2__74.png"
"300","JILI","JILI_SLOT","Fortune Gems 3","1","20260312e4311142-bf0b-4d4b-aa39-82cbef2b1ad5.webp","images/JILI__Fortune_Gems_3__300.webp"
"223","JILI","JILI_SLOT","Fortune Gems 2","1","2025082981a42f5f-ff66-4748-a3a2-11ad88bccff0.webp","images/JILI__Fortune_Gems_2__223.webp"
"542","JILI","JILI_SLOT","Super Ace 2","1","2025092418ec4c38-0fa4-4636-8744-11a5143752df.webp","images/JILI__Super_Ace_2__542.webp"
"103","JILI","JILI_SLOT","Golden Empire","1","20250829669e647f-9258-4fe5-8d9c-c5e0960f11c7.webp","images/JILI__Golden_Empire__103.webp"
"664","JILI","JILI_SLOT","lucky jaguar 500 ","1","2026040883886c0d-e23f-46ce-a1ab-10f6b135dd23.webp","images/JILI__lucky_jaguar_500__664.webp"
"101008","OP","OMNIPLAY_SLOT","candy blast 1000","1","20260509af42fc16-d6cd-4189-a48e-5a683284afd5.webp","images/OP__candy_blast_1000__101008.webp"
"22071","FC","FC_SLOT","Sugar Bang Bang 2","1","20260312412309a2-5b77-4396-bd51-30b35a2aaee5.webp","images/FC__Sugar_Bang_Bang_2__22071.webp"
"22064","FC","FC_SLOT","chinese new year moreways","1","20260521a6a050a2-f68f-44d7-bf25-e07af5da87d7.jpg","images/FC__chinese_new_year_moreways__22064.jpg"
"22020","FC","FC_SLOT","chinese new year","1","2025082942ea0e32-65cf-4c9a-a497-120adb2cdc57.webp","images/FC__chinese_new_year__22020.webp"
"14093","JDB","JDB_SLOT","magic ace wild lock","1","20251008f0eb2cf7-3f57-454a-ad5e-62f9c401f161.webp","images/JDB__magic_ace_wild_lock__14093.webp"
"109","JILI","JILI_SLOT","Fortune Gems","1","202603129b939f38-815e-4644-bce7-8166130bb92d.webp","images/JILI__Fortune_Gems__109.webp"
"101010","OP","OMNIPLAY_SLOT","wild train","1","20260509abacd150-d5d7-4c52-bb77-1626939fe18f.jpg","images/OP__wild_train__101010.jpg"
