game_id,game_provider_id,provider,name_en,site_cat,eff_weight,ov_weight,ov_featured,is_enabled,device,reason
101,0,WanMei,WmBaccarat,casino,9999,,,1,,provider_absent
2,5,BigGaming,BgBaccarat,casino,9999,,,1,,provider_absent
1,7,SexyGaming,SexyBaccarat,casino,9999,,,1,,provider_absent
143,10,JokerGaming,Roma,slot,9999,,,1,d/m,provider_absent
2,12,IONLC,IONLCRoulette,casino,9999,,,1,,provider_absent
564,13,WorldMatch,Arena de Toros,slot,9999,,,1,d/m,provider_absent
9,14,SBOSlot,1c dafudacai-88Fortunes,slot,9999,,,1,d/m,provider_absent+no_php_usd
0,17,IDNLive,IDNLive,lobby,9999,,,0,,provider_absent
0,28,AllBet,AllBet,lobby,9999,,,1,d/m,provider_absent
438,29,MicroGaming,Candy Rush Wilds,slot,9999,,,1,d/m,provider_absent
0,33,GreenDragon,GreenDragon,lobby,9999,,,1,,provider_absent
18,1009,MPoker,Lucky Wheel,casino,9999,,0,1,d/m,provider_absent
1,1012,TCGaming,TCG Vietnam Lottery Lobby,lottery,9999,,,1,"d,m",provider_absent
89,1016,AFBGaming,Kirin Mahjong Ultra,slot,9999,,,1,d/m,provider_absent
1,1019,YeeBet,Baccarat,casino,9999,,,1,d/m,provider_absent
34,1021,OGLive,P9 baccarat,casino,9999,,,1,"d,m",provider_absent+no_php_usd
70,1026,Rich88,Money Rolling,slot,9999,,,1,"d,m",provider_absent
0,1030,DreamGaming,DreamGaming Lobby,lobby,9999,,,1,d/m,provider_absent
152,1032,RelaxGaming,5 Wild Buffalo 3,slot,9999,,,1,d/m,provider_absent
2,1035,PlayAce,Baccarat,casino,9999,,,1,d/m,provider_absent
94,1036,Live22,Mahjong Gold: Tiger,slot,9999,,,1,d/m,provider_absent
13,1041,93connect,FISH PRAWN CRAB,fishing,9999,,,1,"d,m",provider_absent
7,1043,WCasino,Speed Baccarat 03,casino,9999,,,1,"d,m",provider_absent
16,1045,MikiWorld,RngThaiHiLo,perya,9999,,,1,"d,m",provider_absent
118,1047,GamePlaySlot,Lucky Meo Meo,slot,9999,,,1,"d,m",provider_absent
36,1048,GamePlayLiveCasino,Virtual Lucky Baccarat 2,casino,9999,,,1,"d,m",provider_absent
4,1049,GamePlayLottery,So De,lottery,9999,,,1,"d,m",provider_absent
22,1050,BoleGaming,Taung Paw Tar Shan Koe Mee,casino,9999,,,1,"d,m",provider_absent+no_php_usd
22,1054,LambdaGaming,Crown Flash,slot,9999,,,1,d/m,provider_absent
6,1056,Phoenix7,THE WILD FOUR,slot,9999,,,1,"d,m",provider_absent
7,1057,CC88,1c dafudacai-5Treasures,slot,9999,,,1,d/m,provider_absent
45,1059,ClotPlay,Mahjong Self-Drawn Win 3,slot,9999,,0,1,d/m,provider_absent
101,1060,PegasusSlot,Mahjong Gold 3,slot,9999,,,1,d/m,provider_absent
121,1062,DragoonSoft,Mahjong Win3,slot,9999,,,1,d/m,provider_absent
2,1064,ViaCasino,Classic Baccarat,casino,9999,,0,1,"d,m",provider_absent
51,1066,Nextspin,Mahjong Phoenix,slot,9999,,,1,"d,m",provider_absent
72,1068,TomHorn,3 Ribbon Pots,casino,9999,,,1,d/m,provider_absent
5,1069,KissGaming,Singapore Baccarat 1,casino,9999,,,1,"d,m",provider_absent
1,1073,mt,mt,lobby,9999,,,1,d/m,provider_absent
39,1075,PoggiPlay,Elite Coin,slot,9999,,,1,d/m,provider_absent
1,1077,Aviatrix,Aviatrix,other,9999,,,1,"d,m",provider_absent
16,1079,Fastspin,The Great Safari,slot,9999,,,1,"d,m",provider_absent
14,1081,Apollo,Dolphin Reef,slot,9999,,,1,"d,m",provider_absent
5,1082,Vgaming,Fortune Cat,slot,9999,,0,1,"d,m",provider_absent
12,1084,SPlus,Dragon God,slot,9999,,,1,"d,m",provider_absent
0,1086,APGaming,APGaming,sports,9999,,,1,d/m,provider_absent
30,1088,Ezugi,EZDealerRoulette,casino,9999,,,1,d/m,provider_absent
84,1089,RoyalSlotGaming,Rich Mahjong 2,slot,9999,,0,1,"d,m",provider_absent
79,1091,IDNSlot,Mahjong Ways III,slot,9999,,,1,d/m,provider_absent
11,1092,IDNLive,Europe Baccarat 1,casino,9999,,,1,d/m,provider_absent
1,1094,AfricanBuffalo,African Buffalo(50),slot,9999,,,1,d/m,provider_absent+no_php_usd
10,1098,MikiWorldLiveCasino,BlockChain Baccarat,casino,9999,,,1,d/m,provider_absent
