canonical,closed_games,total_games
microgaming,627,627
jokergaming,376,376
gameplay,248,248
sboslot,220,220
tcgaming,167,167
relaxgaming,166,166
afb,155,155
rich88,144,144
idn,139,139
cc88,128,128
dragoonsoft,126,126
apollo,121,121
worldmatch,120,120
pegasus,119,119
vgaming,114,114
tomhorn,112,112
clotplay,106,106
live22,98,98
royalslotgaming,90,90
voltent,89,89
mikiworld,76,76
bole,76,76
fastspin,75,75
oglive,74,74
nextspin,66,66
biggaming,61,61
sexygaming,53,53
lambda,49,49
ezugi,46,46
splus,42,42
poggiplay,41,41
phoenix7,40,40
viacasino,34,34
mpoker,27,27
93connect,25,25
wcasino,25,25
dreamgaming,24,24
naga,24,24
ctinteractive,24,24
endorphina,22,22
yeebet,21,21
168game,19,19
irondog,18,18
platipus,17,17
gameart,15,15
wanmei,13,13
playace,13,13
allbet,12,12
playngo,12,12
kalamba,12,12
expanse,11,11
vagaming,11,11
gamingcorps,11,11
kiss,10,10
gamzix,9,9
rival,9,9
7mojos,8,8
netgame,8,8
skywind,7,7
blueprint,7,7
luckymonaco,6,6
ion,5,5
greendragon,5,5
redrake,5,5
mascot,5,5
africanbuffalo,4,4
rubyplay,4,4
77gaming,4,4
qora,4,4
aviatrix,3,3
reelplay,3,3
onlyplay,3,3
avatarux,3,3
rogue,2,2
thunderkick,2,2
readyplay,2,2
clawbuster,2,2
prospect,2,2
nownow,2,2
fugaso,2,2
bigpot,2,2
bullshark,2,2
revdev,2,2
mt,1,1
apgaming,1,1
revolver,1,1
1x2gaming,1,1
mannaplay,1,1
speedytomatoes,1,1
mobilots,1,1
quickspin,1,1
upgames,1,1
turbogames,1,1
abracadabra,1,1
fantasma,1,1
popiplay,1,1
predix,1,1
