game_id,game_provider_id,provider,name_en,site_cat,eff_weight,ov_weight,ov_featured,is_enabled,device,reason
295,16,FunkyGames,Golden Mahjong Deluxe,slot,9999,,,1,d/m,game_absent
1,19,SaGaming,SaGamingBaccarat,casino,9999,,,1,,game_absent
101,22,Yggdrasil,Big Bucks Bandits Megaways,slot,9999,,,1,d/m,game_absent
0,44,Saba Sports,Saba Sports LOBBY,sports,9999,,,1,d/m,"special:体育类,竞品有SABA"
0,1015,AFB Sports,AFB Sports,sports,9999,,,1,"d,m","special:体育类,人工确认"
109,1018,PlayTech,Legacy of the Tiger,slot,9999,,,1,"d,m",game_absent
0,1022,BTiSports,BTi Sports,sports,9999,,,1,"d,m","special:体育类,人工确认"
1,1053,PandaSports,PandaSports,sports,9999,,,1,"d,m","special:体育类,人工确认"
11,1065,,Mermaid's Treasure,slot,9999,,,1,d/m,厂商名脏数据()
1,1070,WS168Cockfighting,WS168 Cockfighting,other,9999,,,1,"d,m","special:斗鸡类,人工确认"
41,1078,,Wild Bang Bang,slot,9999,,,1,"d,m",厂商名脏数据()
0,1080,LuckySports,LuckySports Lobby,sports,9999,,,1,"d,m","special:体育类,人工确认"
10,1083,,Sticky 777,slot,9999,,,1,"d,m",厂商名脏数据()
6,1085,,Golden Empire2,slot,9999,,,1,"d,m",厂商名脏数据()
237,1096,HacksawGaming,Bullet and Bounty,slot,9999,,,1,d/m,game_absent
16,1099,0,WinGo 1mins,lottery,9999,,,1,"d,m",厂商名脏数据(0)
322,16,FunkyGames,Roma Reborn,slot,9998,,,1,d/m,game_absent
402,38,PragmaticPlayCasino,PragmaticPlaySpeedBaccaratA,casino,9998,,,1,,game_absent
1,44,Saba Sports,TableGame,casino,9998,,,1,d/m,"special:体育类,竞品有SABA"
163,1058,JDB,Aviator Extra Bet,perya,9998,,,1,d/m,game_absent
2,1065,,Sakura Neko,slot,9998,,,1,d/m,厂商名脏数据()
13,1072,Spribe,Pilot Chicken,other,9998,,,1,d/m,game_absent
9,1078,,Kelly's Wheel Single,slot,9998,,,1,"d,m",厂商名脏数据()
1,1080,LuckySports,Soccer,sports,9998,,0,1,"d,m","special:体育类,人工确认"
31,1083,,Book of Egypt,slot,9998,,,1,"d,m",厂商名脏数据()
21,1098,,BlockChain Sicbo,casino,9998,,,1,d/m,厂商名脏数据()
43,1099,0,3Min Car Race,lottery,9998,,,1,"d,m",厂商名脏数据(0)
312,16,FunkyGames,Aztec Fortune Megaways,slot,9997,,,1,d/m,game_absent
2,19,SaGaming,SaGamingDragonTiger,casino,9997,,,1,,game_absent
2,44,Saba Sports,Saba E-Sports,sports,9997,,,1,d/m,"special:体育类,竞品有SABA"
543,1042,KAGaming,KA Fish Hunter,fishing,9997,,,1,"d,m",game_absent
12,1065,,Longevity Dragon,slot,9997,,,1,d/m,厂商名脏数据()
42,1078,,Hello Neko,slot,9997,,,1,"d,m",厂商名脏数据()
2,1080,LuckySports,Tennis,sports,9997,,0,1,"d,m","special:体育类,人工确认"
18,1083,,Wild Corrida,slot,9997,,,1,"d,m",厂商名脏数据()
7,1085,,Golden Empire,slot,9997,,,1,"d,m",厂商名脏数据()
20,1098,,Blockchain Roulette,casino,9997,,,1,d/m,厂商名脏数据()
77,1099,0,Bhagyathara,lottery,9997,,,1,"d,m",厂商名脏数据(0)
134,1102,BNG,3 Clover Pots: Hold and Win,slot,9997,,,1,d/m,game_absent
3,19,SaGaming,SaGamingSicBo,casino,9996,,,1,,game_absent
355,1018,PlayTech,Blue Wizard,slot,9996,,,1,"d,m",game_absent
28,1025,PlayTech,x1000 Quantum Roulette,casino,9996,,,0,"d,m",game_absent
593,1042,KAGaming,Shenron Hunter,fishing,9996,,,1,"d,m",game_absent
36,1058,JDB,Treasure Bowl X-Huge,slot,9996,,,1,d/m,game_absent
15,1065,,Kawaii Neko,slot,9996,,,1,d/m,厂商名脏数据()
3,1080,LuckySports,Cricket,sports,9996,,,1,"d,m","special:体育类,人工确认"
49,1083,,Beach Penalties,other,9996,,,1,"d,m",厂商名脏数据()
4,1085,,Mahjong Self-Drawn Win 2,slot,9996,,,1,"d,m",厂商名脏数据()
78,1099,IndiaLotto,1Min Dice,lottery,9996,,,0,d/m,"special:彩票类,人工确认"
305,16,FunkyGames,Clover Coin Combo,slot,9995,,,1,d/m,game_absent
4,19,SaGaming,SaGamingRoulette,casino,9995,,,1,,game_absent
540,22,Yggdrasil,Piggies Prize Party,slot,9995,,,1,d/m,game_absent
403,38,PragmaticPlayCasino,PragmaticPlaySpeedBaccaratB,casino,9995,,,1,,game_absent
117,1018,PlayTech,Jinns Moon,slot,9995,,,1,"d,m",game_absent
695,1042,KAGaming,Battle of Luck,fishing,9995,,,1,d/m,game_absent
24,1065,,Temple of Gods,slot,9995,,,1,d/m,厂商名脏数据()
29,1078,,Nine Jackpots,slot,9995,,,1,"d,m",厂商名脏数据()
4,1080,LuckySports,Aussie Rules,sports,9995,,,1,"d,m","special:体育类,人工确认"
41,1083,,Pia,slot,9995,,,1,"d,m",厂商名脏数据()
2,1085,,Mahjong Self-Drawn Win 3,slot,9995,,,1,"d,m",厂商名脏数据()
176,1096,HacksawGaming,Pirate Bonanza,slot,9995,,,1,d/m,game_absent
79,1099,IndiaLotto,3Min Dice,lottery,9995,,,0,d/m,"special:彩票类,人工确认"
329,16,FunkyGames,3 Combo Bombs,slot,9994,,,1,d/m,game_absent
30,22,Yggdrasil,Valley of the Gods,slot,9994,,,1,d/m,game_absent
350,1018,PlayTech,Sky Queen,slot,9994,,,1,"d,m",game_absent
20,1025,PlayTech,Ruyi ?? Roulette,casino,9994,,,0,"d,m",game_absent
82,1034,AdvantPlay,Zeustrike,slot,9994,,,1,d/m,game_absent
6,1065,,Mahjong Fortune,slot,9994,,,1,d/m,厂商名脏数据()
18,1078,,Gold Bonus,slot,9994,,,1,"d,m",厂商名脏数据()
5,1080,LuckySports,Badminton,sports,9994,,,1,"d,m","special:体育类,人工确认"
55,1085,,Fortune Overflow,slot,9994,,,1,d/m,厂商名脏数据()
254,1096,HacksawGaming,Pirate Bonanza 2,slot,9994,,,1,d/m,game_absent
72,1099,0,SHILLONG TEER,lottery,9994,,,1,"d,m",厂商名脏数据(0)
306,16,FunkyGames,CaiShenBaoXi,slot,9993,,,1,d/m,game_absent
7,19,SaGaming,SaGamingSedie,casino,9993,,,0,d/m,game_absent
387,1018,PlayTech,Witches:�Cash�Collect,slot,9993,,,1,"d,m",game_absent
146,1025,PlayTech,Adventures Beyond Wonderland Brasil,other,9993,,,0,d/m,game_absent
7,1065,,Queen Of Aztec,slot,9993,,,1,d/m,厂商名脏数据()
16,1078,,Child of Happiness,slot,9993,,,1,"d,m",厂商名脏数据()
6,1080,LuckySports,Baseball,sports,9993,,0,1,"d,m","special:体育类,人工确认"
44,1083,,Shaolin Crew,slot,9993,,,1,"d,m",厂商名脏数据()
9,1085,,Hot Ace,slot,9993,,,1,"d,m",厂商名脏数据()
22,1098,,BlockChain Xoc Dia,casino,9993,,,1,d/m,厂商名脏数据()
73,1099,0,1Min SHILLONG TEER ONLINE,lottery,9993,,,1,"d,m",厂商名脏数据(0)
294,16,FunkyGames,777 Blazing Hold and Win,slot,9992,,,1,d/m,game_absent
126,22,Yggdrasil,12 Trojan Mysteries,slot,9992,,,1,d/m,game_absent
404,38,PragmaticPlayCasino,PragmaticPlayLiveBaccaratB,casino,9992,,,1,,game_absent
552,1042,KAGaming,The Deep Monster,fishing,9992,,,1,"d,m",game_absent
3,1065,,Sugary Bonanza,slot,9992,,,1,d/m,厂商名脏数据()
23,1072,Spribe,Oink Heist: Pigy Collect,slot,9992,,,1,d/m,game_absent
2,1078,,Kelly's Wheel Double,slot,9992,,,1,"d,m",厂商名脏数据()
7,1080,LuckySports,Basketball,sports,9992,,0,1,"d,m","special:体育类,人工确认"
46,1083,,100 Super Icy,slot,9992,,,1,"d,m",厂商名脏数据()
