id,gameId,name,platformName,gameType,imageUrl,localImage
"13479","123","Pahiyas Win's","GameZone","5","https://pub.imgscache.com/compic/428e4e22-6e83-4c12-9db2-fcdfc875448f.webp","images/GameZone__Pahiyas_Win_s__13479.webp"
"11729","sweeper","Mines","GameZone","3","https://pub.imgscache.com/compic/031a1605-2e80-4bc1-9843-48e083a6a5da.webp","images/GameZone__Mines__11729.webp"
"13148","pacquiaofortune","Pacquiao Fortune","GameZone","5","https://pub.imgscache.com/compic/29c34bbc-fa9a-46c1-b9e8-f7a48bc72500.webp","images/GameZone__Pacquiao_Fortune__13148.webp"
"11947","superace","Fortune Ace","GameZone","5","https://pub.imgscache.com/compic/44b28d73-d711-48f8-af97-4322da6b4f95.webp","images/GameZone__Fortune_Ace__11947.webp"
"12033","supergemtwo","Super Gems2","GameZone","5","https://pub.imgscache.com/compic/92f8c94c-9340-4374-be72-14e8013ae237.webp","images/GameZone__Super_Gems2__12033.webp"
"13449","101007","Super Gems","OMNIPLAY","5","https://pub.imgscache.com/compic/46b20dd8-40f8-454c-851d-a743e0217193.webp","images/OMNIPLAY__Super_Gems__13449.webp"
"12258","1492288","Pinata Wins","PG","5","https://pub.imgscache.com/compic/4c458a7e-2609-4212-8620-512d9efc291a.webp","images/PG__Pinata_Wins__12258.webp"
"11674","49","Super Ace","JILI","5","https://pub.imgscache.com/compic/6a617a9a-9749-47f2-b20b-5985b3a89581.webp","images/JILI__Super_Ace__11674.webp"
"11463","leqhceumaq6qfoug","Speed Baccarat A Live","EVOLUTION","17","https://pub.imgscache.com/compic/b817f560-cfa6-495a-818b-1a7d6522544a.webp","images/EVOLUTION__Speed_Baccarat_A_Live__11463.webp"
"12035","471","Super Ace Jackpot","JILI","5","https://pub.imgscache.com/compic/b07419fd-d384-4a3c-aff9-c94f1238d86b.webp","images/JILI__Super_Ace_Jackpot__12035.webp"
"12260","135","Wild Bounty Showdown","PG","5","https://pub.imgscache.com/compic/8544a14a-cee3-4635-9e9b-4cdfe0a26d15.webp","images/PG__Wild_Bounty_Showdown__12260.webp"
"12174","RBDG","Pinoy Drop Ball","PDB","27","https://pub.imgscache.com/compic/3e797d74-1c1c-4e41-8200-28a9f4bcba95.webp","images/PDB__Pinoy_Drop_Ball__12174.webp"
"14204","101024","Super Gems 1000","OMNIPLAY","5","https://pub.imgscache.com/compic/68788747-d4ab-4a8c-964f-6878474adcb6.webp","images/OMNIPLAY__Super_Gems_1000__14204.webp"
"13486","696","Fortune Garuda 500","JILI","5","https://pub.imgscache.com/compic/382f38fc-a2af-4d63-85f0-c1644c06d21f.webp","images/JILI__Fortune_Garuda_500__13486.webp"
"11849","403","Super Ace Deluxe","JILI","5","https://pub.imgscache.com/compic/0f6e960d-8679-487c-99c7-8bcffc6ea741.webp","images/JILI__Super_Ace_Deluxe__11849.webp"
"11627","tongits","Tongits Plus","GameZone","3","https://pub.imgscache.com/compic/d43905a8-6ffa-4829-b786-a2913e93a36b.webp","images/GameZone__Tongits_Plus__11627.webp"
"11564","G13","Color Game (live)","COLORGAME","27","https://pub.imgscache.com/compic/f5ce06e3-240b-4be6-8c89-116653e42a6a.webp","images/COLORGAME__Color_Game_live__11564.webp"
"11834","tongits_joker","Tongits Joker","GameZone","3","https://pub.imgscache.com/compic/102c36e8-b81e-4caa-9c12-1eaf19df6a30.webp","images/GameZone__Tongits_Joker__11834.webp"
"11786","300","Fortune Gems 3","JILI","5","https://pub.imgscache.com/compic/70a922e3-4bea-4e30-ae78-2d87cf1d2db5.webp","images/JILI__Fortune_Gems_3__11786.webp"
"11405","229","Mines","JILI","3","https://pub.imgscache.com/compic/2f95fba2-4804-4625-bb3d-0ce82573dd2e.webp","images/JILI__Mines__11405.webp"
"13085","22071","Sugar Bang Bang 2","FACHAI","5","https://pub.imgscache.com/compic/79af655a-1fdb-43bd-88e8-b4ad1146c2f3.webp","images/FACHAI__Sugar_Bang_Bang_2__13085.webp"
"12161","vs20sugarrushx","Sugar Rush 1000","PP","5","https://pub.imgscache.com/compic/d77cb085-87bb-4437-a70d-4d55aadd94b6.webp","images/PP__Sugar_Rush_1000__12161.webp"
"11704","RG01","Pa Pula Pa Puti","Pulaputi","27","https://pub.imgscache.com/compic/64b3829d-550f-4a9a-a6da-deaa96a833e0.webp","images/Pulaputi__Pa_Pula_Pa_Puti__11704.webp"
"13932","BT01","Pinoy Drop Ball Turbo","PDBT","30","https://pub.imgscache.com/compic/68a4ce72-7569-4d19-b959-4d9271c87ee0.webp","images/PDBT__Pinoy_Drop_Ball_Turbo__13932.webp"
"11673","103","Golden Empire","JILI","5","https://pub.imgscache.com/compic/9b85eeaf-76f5-418c-a7bd-32aa02f97d75.webp","images/JILI__Golden_Empire__11673.webp"
"11675","109","Fortune Gems","JILI","5","https://pub.imgscache.com/compic/33f5ccde-b5d6-4428-bd16-1b00a6c2106e.webp","images/JILI__Fortune_Gems__11675.webp"
"12138","vs20fruitswx","Sweet Bonanza 1000","PP","5","https://pub.imgscache.com/compic/31c521f1-7b9c-448c-801a-ac1ebda287ba.webp","images/PP__Sweet_Bonanza_1000__12138.webp"
"11703","pusoy","Pusoy Plus","GameZone","3","https://pub.imgscache.com/compic/962e6e11-37bd-4d5b-828d-2de082aa3dce.webp","images/GameZone__Pusoy_Plus__11703.webp"
