ep,umin,umax,vus,rps,med_ms,p95_ms,p99_ms,err_rate
/api/v1/bets?limit=20,1,50,5,25.0,109,586,1322,0.0000
/api/v1/bets?limit=20,1,50,10,24.0,196,1414,2186,0.0000
/api/v1/bets?limit=20,1,50,20,18.8,416,2274,7708,0.0009
/api/v1/bets?limit=20,1,50,40,18.6,423,3808,59742,0.0143
/api/v1/promotions/team/tree,51,80,5,9.0,433,1260,1741,0.0000
/api/v1/promotions/team/tree,51,80,10,7.9,706,2717,8345,0.0000
/api/v1/promotions/team/tree,51,80,20,8.4,1497,6554,11904,0.0000
/api/v1/promotions/team/tree,51,80,40,5.6,1956,16214,60002,0.0322
/api/v1/promotions/team/downlines?level=1&page=1,51,80,5,43.4,73,359,696,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,10,44.0,107,854,1853,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,20,32.4,175,1606,3955,0.0005
/api/v1/promotions/team/downlines?level=1&page=1,51,80,40,26.2,191,3679,15359,0.0015
/api/v1/rebate/progress,1,50,5,68.4,62,92,279,0.0000
/api/v1/rebate/progress,1,50,10,84.5,105,296,553,0.0000
/api/v1/rebate/progress,1,50,20,91.8,205,399,656,0.0000
/api/v1/rebate/progress,1,50,40,87.0,409,716,1840,0.0000
/api/v1/ledger?limit=20,1,50,5,29.0,75,417,1787,0.0000
/api/v1/ledger?limit=20,1,50,10,37.6,106,888,1862,0.0000
/api/v1/ledger?limit=20,1,50,20,26.2,168,1803,4078,0.0024
/api/v1/ledger?limit=20,1,50,40,33.3,278,2574,30607,0.0000
/api/v1/wallet/balances,1,500,10,247.5,37,58,77,0.0000
/api/v1/wallet/balances,1,500,40,223.8,39,528,1004,0.0001
/api/v1/user/me,1,500,10,215.8,37,68,275,0.0000
/api/v1/user/me,1,500,40,153.9,38,743,1695,0.0011
/api/v1/slots/games?limit=30&offset=0,1,500,10,5.6,1359,4151,11100,0.0000
/api/v1/slots/games?limit=30&offset=0,1,500,40,3.7,4542,20526,47309,0.0115
/api/v1/tasks,1,50,10,26.5,260,1130,1991,0.0000
/api/v1/tasks,1,50,40,23.9,937,4309,8646,0.0000
/api/v1/vip/progress,1,50,10,62.5,135,193,736,0.0000
/api/v1/vip/progress,1,50,40,64.5,562,732,2038,0.0000
/api/v1/promotions/checkin/status,1,500,10,111.1,46,288,534,0.0000
/api/v1/promotions/checkin/status,1,500,40,81.7,46,1017,3903,0.0006
/api/v1/deposits,1,50,10,35.3,101,1054,1848,0.0000
/api/v1/deposits,1,50,40,23.6,173,2326,16006,0.0087
/api/v1/withdrawals,1,50,10,37.5,111,887,1891,0.0000
/api/v1/withdrawals,1,50,40,32.0,267,2666,30743,0.0000
/api/v1/home/content,1,500,20,34.0,165,1798,4508,0.0000
/api/v1/slots/homepage,1,500,20,1.9,7212,21669,40777,0.0000
/api/v1/vip/levels,1,500,20,50.3,134,905,3797,0.0000
/api/v1/rebate/config,1,500,20,23.1,115,4440,12640,0.8615
/api/v1/promotions/config,1,500,20,32.5,113,1584,3783,0.0004
