page,vus,iter_rps,iter_med_ms,iter_p95_ms,req_p95_ms,err_rate
startup,10,103.7,87,141,126,0.0000
startup,20,105.5,181,249,219,0.0000
home,10,135.6,68,115,94,0.0000
home,20,133.5,148,204,175,0.0000
bonuses,10,39.8,250,299,284,0.0000
bonuses,20,39.0,505,600,570,0.0000
team,10,25.8,379,469,414,0.0000
team,20,25.7,761,891,796,0.0000
games,10,259.7,36,62,55,0.0000
games,20,261.2,72,111,104,0.0000
menu,10,46.5,214,266,238,0.0000
menu,20,45.3,435,511,465,0.0000
tasks,10,25.3,393,462,433,0.0000
tasks,20,24.3,815,929,884,0.0000
rebate,10,80.7,123,170,156,0.0000
rebate,20,79.9,250,324,297,0.0000
vip,10,22.9,429,504,466,0.0000
vip,20,22.3,887,992,938,0.0000
wallet-history,10,56.3,176,227,200,0.0000
wallet-history,20,54.4,363,510,433,0.0000
bets,10,117.9,77,122,122,0.0000
bets,20,121.2,161,209,208,0.0000
