ep,umin,umax,vus,rps,med_ms,p95_ms,p99_ms,err_rate
/api/v1/bets?limit=20,1,50,5,101.7,44,80,91,0.0000
/api/v1/bets?limit=20,1,50,10,110.0,85,127,140,0.0006
/api/v1/bets?limit=20,1,50,20,111.3,178,217,240,0.0000
/api/v1/bets?limit=20,1,50,40,108.0,366,415,465,0.0000
/api/v1/ledger?limit=20,1,50,5,180.8,25,52,64,0.0000
/api/v1/ledger?limit=20,1,50,10,191.3,48,84,96,0.0000
/api/v1/ledger?limit=20,1,50,20,201.5,95,135,153,0.0000
/api/v1/ledger?limit=20,1,50,40,198.5,201,247,269,0.0000
/api/v1/rebate/progress,1,50,5,81.2,60,94,113,0.0000
/api/v1/rebate/progress,1,50,10,0.2,59982,59997,60000,1.0000
/api/v1/rebate/progress,1,50,20,0.4,50905,50936,50953,1.0000
/api/v1/rebate/progress,1,50,40,82.2,476,584,863,0.0019
/api/v1/vip/progress,1,50,10,53.6,184,243,274,0.0000
/api/v1/vip/progress,1,50,40,51.0,778,866,975,0.0000
/api/v1/promotions/team/tree,51,80,10,73.3,132,186,212,0.0000
/api/v1/promotions/team/tree,51,80,40,69.4,563,672,713,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,10,174.0,51,89,102,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,40,166.9,240,269,311,0.0000
