ep,umin,umax,vus,rps,med_ms,p95_ms,p99_ms,err_rate
/api/v1/bets?limit=20,1,50,5,248.5,19,27,31,0.0000
/api/v1/bets?limit=20,1,50,10,252.1,38,48,51,0.0000
/api/v1/bets?limit=20,1,50,20,243.7,80,91,97,0.0000
/api/v1/bets?limit=20,1,50,40,236.8,169,179,188,0.0000
/api/v1/bets?limit=20,1,50,80,235.1,338,358,374,0.0000
/api/v1/promotions/team/tree,51,80,5,193.3,25,34,39,0.0000
/api/v1/promotions/team/tree,51,80,10,210.5,46,59,65,0.0000
/api/v1/promotions/team/tree,51,80,20,214.3,92,107,112,0.0000
/api/v1/promotions/team/tree,51,80,40,208.4,192,205,228,0.0000
/api/v1/promotions/team/tree,51,80,80,203.3,393,410,431,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,5,326.8,15,20,25,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,10,320.7,30,39,41,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,20,315.4,62,72,76,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,40,309.4,128,138,155,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,80,302.2,263,276,294,0.0000
/api/v1/rebate/progress,1,50,5,551.0,9,11,15,0.0000
/api/v1/rebate/progress,1,50,10,537.0,18,22,29,0.0000
/api/v1/rebate/progress,1,50,20,505.5,39,48,52,0.0000
/api/v1/rebate/progress,1,50,40,506.3,78,89,92,0.0000
/api/v1/rebate/progress,1,50,80,485.5,165,177,189,0.0000
/api/v1/ledger?limit=20,1,50,5,501.5,10,12,18,0.0000
/api/v1/ledger?limit=20,1,50,10,481.0,20,27,31,0.0000
/api/v1/ledger?limit=20,1,50,20,476.0,41,51,55,0.0000
/api/v1/ledger?limit=20,1,50,40,476.2,82,93,104,0.0000
/api/v1/ledger?limit=20,1,50,80,469.8,169,182,205,0.0000
/api/v1/wallet/balances,1,500,10,891.5,11,13,19,0.0000
/api/v1/wallet/balances,1,500,40,900.4,43,53,57,0.0000
/api/v1/wallet/balances,1,500,80,914.3,86,97,101,0.0000
/api/v1/user/me,1,500,10,799.1,12,15,22,0.0000
/api/v1/user/me,1,500,40,837.2,47,56,59,0.0000
/api/v1/user/me,1,500,80,805.6,97,109,111,0.0000
/api/v1/slots/games?limit=30&offset=0,1,500,10,789.9,13,13,14,0.0000
/api/v1/slots/games?limit=30&offset=0,1,500,40,787.6,50,53,57,0.0000
/api/v1/slots/games?limit=30&offset=0,1,500,80,751.0,105,115,121,0.0000
/api/v1/tasks,1,50,10,404.2,24,32,34,0.0000
/api/v1/tasks,1,50,40,394.9,99,109,121,0.0000
/api/v1/tasks,1,50,80,384.7,204,222,332,0.0000
/api/v1/vip/progress,1,50,10,185.1,53,63,66,0.0000
/api/v1/vip/progress,1,50,40,177.1,225,234,252,0.0000
/api/v1/vip/progress,1,50,80,175.2,455,469,497,0.0000
/api/v1/promotions/checkin/status,1,500,10,360.4,27,35,38,0.0000
/api/v1/promotions/checkin/status,1,500,40,331.0,119,130,139,0.0000
/api/v1/promotions/checkin/status,1,500,80,332.9,237,258,271,0.0000
/api/v1/deposits,1,50,10,649.6,15,19,25,0.0000
/api/v1/deposits,1,50,40,665.2,58,69,77,0.0000
/api/v1/deposits,1,50,80,662.4,120,130,144,0.0000
/api/v1/withdrawals,1,50,10,559.3,17,23,28,0.0000
/api/v1/withdrawals,1,50,40,553.9,71,81,85,0.0000
/api/v1/withdrawals,1,50,80,556.0,144,154,170,0.0000
/api/v1/home/content,1,500,20,2089.6,9,10,15,0.0000
/api/v1/slots/homepage,1,500,20,558.8,35,43,45,0.0000
/api/v1/vip/levels,1,500,20,225.3,87,97,100,0.0000
/api/v1/rebate/config,1,500,20,521.4,37,48,50,0.0000
/api/v1/promotions/config,1,500,20,1124.3,17,21,28,0.0000
