page,vus,iter_rps,iter_med_ms,iter_p95_ms,req_p95_ms,err_rate
startup,10,185.0,53,63,58,0.0000
startup,20,185.6,106,118,114,0.0000
startup,40,190.7,207,223,218,0.0000
home,10,247.0,40,48,42,0.0000
home,20,241.5,82,92,86,0.0000
home,40,243.5,163,175,170,0.0000
bonuses,10,74.9,133,144,139,0.0000
bonuses,20,74.8,267,277,272,0.0000
bonuses,40,75.3,527,547,540,0.0000
team,10,55.8,178,198,186,0.0000
team,20,54.8,363,386,371,0.0000
team,40,51.5,770,816,781,0.0000
games,10,395.5,25,28,27,0.0000
games,20,396.3,50,54,52,0.0000
games,40,390.3,101,111,109,0.0000
menu,10,88.7,112,125,118,0.0000
menu,20,87.0,230,243,236,0.0000
menu,40,85.4,466,486,475,0.0000
tasks,10,88.5,111,128,118,0.0000
tasks,20,88.3,225,249,235,0.0000
tasks,40,83.9,472,511,486,0.0000
rebate,10,230.6,43,52,47,0.0000
rebate,20,230.2,86,98,94,0.0000
rebate,40,227.9,174,189,185,0.0000
vip,10,51.3,194,210,200,0.0000
vip,20,48.6,412,426,417,0.0000
vip,40,44.9,890,922,899,0.0000
wallet-history,10,113.3,87,98,91,0.0000
wallet-history,20,114.7,174,187,180,0.0000
wallet-history,40,114.2,349,366,357,0.0000
bets,10,283.4,35,38,37,0.0000
bets,20,271.9,73,82,81,0.0000
bets,40,266.4,149,161,160,0.0000
